Description,ASIN,Manufacturer,Product Info
,laptop bag,,"[{'Product': 'Laptop Backpack:', 'Additional Info': 'Sturdy Laptop Backpack has One Separate Laptop Compartment for iPad, MacBook, Laptop (Size Up to 17.3 inch) and Other Electronic Devices, Make Your Items Organized and Safe.'}, {'Product': 'College Backpack:', 'Additional Info': 'The Extra Large College Backpack is Your Back to College Essentials. Perfect for Classrooms, College Students, High School Students, Teachers, and Outdoor Activities.'}, {'Product': 'Travel Backpack:', 'Additional Info': 'Perfect for Occasional International Travel / Weekend Short Trip Getaways / Airplane Travel / Outdoor Hiking Camping Backpack for Men and Women.'}]"
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', '? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern<br>', '? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.<br>', '? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit<br>', '? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports<br>', 'Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.<br>']",BG-22201,,"[{'Product': 'IMPACT-RESISTANT DESIGN', 'Additional Info': 'ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.'}, {'Product': 'ORGANISED DESIGN', 'Additional Info': 'This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ iPad. Spacious enough to hold your clothings, folders, documents etc. Also includes organized pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.'}, {'Product': 'HIGH QAULITY', 'Additional Info': 'This Laptop Bag is the perfect travel companion that delivers all the space you need to carry your belongings in style. This stylish case features a durable, laptop-shaped shape to keep your laptop safe and secure for the on-the-go professional.'}]"
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', 'This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.', ""Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days."", 'Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.', ""Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less."", 'FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc']",laptop bag,,"[{'Product': 'Backpack for Every Needs', 'Additional Info': 'This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,'}, {'Product': 'Space & Comfort', 'Additional Info': 'This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.'}, {'Product': 'Small Pockets', 'Additional Info': 'This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.'}, {'Product': 'Rain / Dust Cover', 'Additional Info': 'This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.'}, {'Product': 'Proudly Made in India', 'Additional Info': ""Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.""}, {'Product': 'Shipped Directly from Factory', 'Additional Info': 'Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible.'}]"
"['[Armored Gear]-- The backpack is made of high quality semi hard water resistant Fabric. With high density nylon lining will keep your expensive electronics safe and secure. Comfortable adjustable shoulder straps. Serve you well as casual daily backpack, student backpack for men, women, teens, adults.', '[Organizer Pockets]-- One Main Compartment to keep key board, headphones, cloths etc., desired compartment for laptop upto 15.6inch like Omen, alienware, ASUS, MSI etc., One Desired pocket for 10inch ipad, tablet etc., 1 X inner Zipper Pocket, 1 X inner mesh Pocket, And 1 * anti-theft pocket.', '[Internal Defenses]-- Dedicated, padded pockets protect your laptop and tablet Device in addition to the included charging cable Bag to help keep your accessories protected from Scratches.', '[USB Charging Port]-- This laptop backpack comes with a built-in USB charging port outside and USB cable inside. This USB backpack offers you a more convenient way to charge your phone while walking. Please noted that power bank is not included, the USB charging port only offers an easy access to charge', '[External Dimension]-- 44*15*29 cm (L×W×H). Fits for 12-15.6 inch laptop. It is a great backpack for daily life. You can take it to school, shopping, cycling, weekend traveling etc.']",B07X399726,"AH Arctic Hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com",[]
"['Made with High Quality fabric. Outer material: Nylon Twill - Soft, Durable and Water Resistant! Capacity: 13 liters, Weight: 355 g, Dimensions: 29 x 35.5 x 13 cm Warranty: 12 months', 'Spacious compartment with Tablet sleeves: To have entertainment & work, on the Go! One side pocket: For holding water bottle, clipping pens or pencil or storing other items. Easily accessible front pocket: To keep all your essentials such as wallet, ticket, cosmetics.', ""Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!"", 'Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.', ""Stylish & Cute: This bag is designed for those Millennials and GenZ, who aren't afraid to compromise on Utility or Fashion! It is a perfect, small bag to carry all the daily essentials while using it as a trendy accessory, or a travel bag or as a college backpack.""]",FLAMENCO214CBSBL,,[]
,,,[]
,BM83,,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', 'Outer material: synthetic, color: brown', 'Waterproof', 'Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)', 'Number of compartments: 2', 'Laptop compatibility: yes, laptop size: 16strap type: adjustable', '', '', '', '']",LBPCLSLTH0201,,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements."
,B07BZ5VC4H,,[]
"['30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.', 'Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics. Compatible Laptop Size 16 inch', 'Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.', 'Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks', '1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty', 'Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.']",B085S444JV,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039","[{'Product': 'Ergonomic Contoured Shape', 'Additional Info': 'With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!'}, {'Product': 'Fits Your Laptop', 'Additional Info': 'Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.'}, {'Product': 'Strong and Lightweight', 'Additional Info': 'Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.'}]"
"['Care Instructions: Hand Wash Only', 'Backpack']",India,,[]
"['Care Instructions: Hand Wash Only', 'SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort.', 'COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.', 'SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm', 'ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.', 'OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.']",bag for men,,"[{'Product': 'Backpack for Every Needs', 'Additional Info': 'This MADE IN INDIA Product features 3 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Laptop Compartment, Top padded Handle for comfort. Its ergonomics comfortable design makes you forget the load you are carrying,'}, {'Product': 'Spacious compartments', 'Additional Info': 'This casual backpack comes with three spacious zippered compartments which can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day.'}, {'Product': 'Comfort & Quality', 'Additional Info': 'This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.'}, {'Product': 'Rain / Dust Cover', 'Additional Info': 'This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.'}, {'Product': 'Proudly Made in India', 'Additional Info': ""Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.""}, {'Product': 'Shipped Directly from Factory', 'Additional Info': 'Half Moon offers high-quality bags at the lowest prices. We offer bags directly from factory to the customer to provide the bag at lowest prices possible.'}]"
,B00423,,[]
"['WALKENT Ritzy Laptop Bag elevates your professional look - the perfect blend of style and function', 'Ritzy Laptop Bag is designed with a water-resistant and scratch-resistant outer layer and high-quality PU/faux leather, this bag offers maximum protection for your laptop and other essentials', 'With multiple compartments, cushioned laptop compartment, side bottle pockets, and anti-theft pockets, you can stay organized and secure on the go', 'Enjoy ultimate comfort with the cushioned and padded shoulder straps and back, as well as the durable leather handle', 'Ideal for 15.6 inch laptops and 10.2 inch tablets, the Walkent Ritzy laptop bag is the ultimate accessory for professionals and students alike who demand style and functionality in their everyday lives']",B09Q172X7J,"Walkent, Walkentstore@gmail.com, Contact: +91 8001655655",[]
"['Anti-Theft: Hidden back pocket to keep valuables / documents safe', 'USB Charging: Comes with a USB port to charge your device on-the-go', 'Ergonomic: The ergonomic back design and padded shoulder straps help reduce physical stress', 'Spacious: Comes with 2 compartments, a cushioned sleeve, front zipper pockets and side pockets', 'Pull-Rod Box: Allows you to slide the bag over the luggage handle', 'Multi-purpose: Can be used for college, office, laptop bag, and even for one-day trips']",B0C6639P8P,"Alpha Digital Corp., ALPHA DIGITAL CORP,C-1,SARATHI CO-OPERATIVE HOUSING SOCIETY LIMITED, KHIRA NAGAR, S.V. ROAD,SANTACRUZ WEST,MUMBAI 400054, INDIA","Introducing the Amazon Basics Laptop Bag. It comes equipped with 2 main compartments and a laptop sleeve that accomodates up to a 15.6 inch laptop. The additional front zipper pockets, side pockets give you more storage space while the hidden back pocket allows you to keep your valuable belongings safe. The ergonomic back design and padded shoulder straps add comfort to your commute. The bag also sports a pull-rod box that allows you to stow the bag onto your luggage handle for ease."
,school bags for boys,,"This Eclipse backpack is the ultimate choice for anyone who want a backpack that's both stylish and functional. With a unique digitally printed design this school bag for girls and boys is built to last, with a never-fading print that will stay vibrant and vivid for years to come. One of the standout features of this laptop bag is its padded laptop compartment, which can fit most laptops up to 15.6 inches. The compartment provides added protection for your tech, ensuring it stays safe and secure on the go. The laptop bag for men also includes an internal organizer with small pockets for pens, pencils, a diary, phone, and other essentials, keeping everything organized and easily accessible. With three large compartments, there's plenty of space to store books, folders, and other school supplies. The adjustable padded straps provide a comfortable fit for all-day wear, making it an ideal backpack for men and college bag for men & women. The lightweight and durable construction of this school bag makes it easy to carry with you everywhere you go. With all these features it can be used as laptop bag , school bags for boys & girls , bag for men , backpack , bags for women , school bag for girls , laptop bag for men , bags for mens , college bag for men , school bags etc. This Eclipse backpack also features a breathable mesh back panel that helps keep you cool and comfortable, even on hot days. And with its sleek and modern design, this backpack is sure to turn heads wherever you go, delivering everything you need in a bag and more."
